Variable,Overall_M,Overall_SD,Overall_N,A_M,A_SD,A_N,B_M,B_SD,B_N,C_M,C_SD,C_N
evaluative_trust,5.296610169491525,1.0542722100707436,354,5.426086956521739,1.0135993669013221,115,5.275590551181103,1.1228306445844571,127,5.1875,1.0092477798246975,112
delegative_trust,3.9161958568738235,1.41983612501684,354,3.83768115942029,1.3922405528851898,115,4.039370078740157,1.475020804103036,127,3.857142857142857,1.3868496397778396,112
betrayal,4.15819209039548,1.6449263077407452,354,4.226086956521739,1.606242589252984,115,4.0236220472440944,1.7111426003916623,127,4.241071428571429,1.612147220795502,112
disappointment,5.751412429378531,1.2369709574333014,354,5.843478260869565,1.1591838050203729,115,5.708661417322834,1.3575785879819928,127,5.705357142857143,1.175105077587508,112
betrayal_premium,-1.5932203389830508,1.6156316166497542,354,-1.617391304347826,1.5704653947362461,115,-1.68503937007874,1.6508813778810763,127,-1.4642857142857142,1.6270714942379292,112
general_exit,4.666666666666667,1.6358818836637745,354,4.678260869565217,1.603438334565325,115,4.574803149606299,1.7206481108175034,127,4.758928571428571,1.5782618773228203,112
algorithm_aversion,4.864406779661017,1.5199257524580165,354,5.026086956521739,1.5301695214263218,115,4.645669291338582,1.576250116398511,127,4.946428571428571,1.4258822823572368,112
